User,Date Created,Number of Likes,Source of Tweet,Tweet
closer2fine,2022-06-25 23:59:59+00:00,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@weltonlassos I’ve been so upset all day. Ophelia is the most loving person. I hope they find the person responsible.
lord,2022-06-25 23:59:59+00:00,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Another great day!
BGYOART3,2022-06-25 23:59:58+00:00,2,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Happy Birthday, Nate! 

HAPPY BGYO NATE DAY

#HappyBunaNATEDay
#BGYO @bgyo_ph"
DotmanJohn,2022-06-25 23:59:58+00:00,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@the_banku Lmao! Fr? 😄
I thought we were done for one day"
1loveshop,2022-06-25 23:59:58+00:00,1,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","We are OPEN on Canada Day! Hours are 11 am until 7 pm! stop in and see us so we can help you start some fireworks in your bedroom!

#CanadaDay2022 #canadaday https://t.co/SVy9qlIrPX"
WieTalk,2022-06-25 23:59:58+00:00,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","The day is just getting started no pero lami nang humanon dayon, alert naman mu answer nko para maka relax na hahaha"
loybuhwang,2022-06-25 23:59:58+00:00,0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",parang expected ko na na kuly 15 ilalabas solo ni jhope the day nung sinabi na mauuna raw si jhope mag labas hahahaha. parang may kutob ako na makakasabay pero yun nga sumabay. HAHAHHAHA let's enjoy the comeback nalang guys 😚😚
hika_plv_moyu,2022-06-25 23:59:58+00:00,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#100日後も推してるオタクチャレンジ 
Day.77
Q:もゆるさんに花を渡すなら？
A:6月18日の花である｢フランネルフラワー｣
花言葉は｢高潔・誠実｣ https://t.co/KNxrLU80Q0"
LoggleBot,2022-06-26 23:59:59+00:00,0,"<a href=""https://cheapbotsdonequick.com"" rel=""nofollow"">Cheap Bots, Done Quick!</a>","sighs. well loggle. another day, another step closer to bankrupt- eh?"
GlassesJudge,2022-06-26 23:59:59+00:00,1,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@STERLSHEP87 keep reading the thread though! made someones day :)
zheydorntorch,2022-06-26 23:59:59+00:00,6,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This crowd is amped. Night and day compared to the Hell in a Cell PPV in this market a few years ago in terms of pre-show energy. #AEWForbiddenDoor
twoshedslegit,2022-06-26 23:59:59+00:00,1,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@MrKRudd The LNP are clearly on Planet Nutter!  They’re crazy, and seemingly determined to go the way of the dinosaurs they emulate every day 🦕🦖🦕🦖"
ImpostorDoctor,2022-06-26 23:59:59+00:00,3,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Every day.
Effing_Frank,2022-06-26 23:59:59+00:00,1,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@chevyrobscv @kylegriffin1 @GavinNewsom The only person who died that day was an unarmed American veteran at the hands of the capitol police.
NewHavenED,2022-06-26 23:59:59+00:00,6,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Historic day! See you at 930 tomorrow!
chicuwu_,2022-06-26 23:59:59+00:00,2,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@PlanoNameHokeB Parabéns bro :3 Have a great day
its___day,2022-06-26 23:59:59+00:00,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Since I been doing my hair I want a new hair style every 2/3 days
lazyactivist192,2022-06-26 23:59:59+00:00,3,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@MStormbird @bellesapepper37 @KirosAuld @jfkeeler @LakotaMan1 So how do you feel about Keeler's work, especially in regards to east coast tribes, where ""Indian"" as a census/birth certificate record was the exception, not the rule. Instead, used terms were very much based around colorism, and that seeps into present day work."
ChrestTracy,2022-06-26 23:59:58+00:00,1,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","My day yesterday, getting unstuck ..

🪶🦬🦅🦋❤️🙏 https://t.co/3S7oTJQHuX"
shnkml,2022-06-27 23:59:59+00:00,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@jaeminnan_ don't skip your breakfast and have a nice day!
AliceSmithSch,2022-06-27 23:59:59+00:00,5,"<a href=""http://www.hubspot.com/"" rel=""nofollow"">HubSpot</a>","It's here! Graduation day has arrived and our Year 12's (aka #KLASSof2023) have a special message for our #KLASSof2022  https://t.co/J2T77ic7A4
It's going to be a FABULOUS day! 🎓🎉🙌"
kickindaeye,2022-06-27 23:59:59+00:00,2,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",a big ty to everyone who’s been lovely today and offered me any kind of support ! ive just had a bit of a shitty day so hopefully ill be okay tomos !
iiluvwon_woo,2022-06-27 23:59:59+00:00,1,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@candyyyy_sss jangan lupa sarapan, have a nice day!"
MainLineToday,2022-06-27 23:59:59+00:00,0,"<a href=""http://www.hubspot.com/"" rel=""nofollow"">HubSpot</a>","Day-to-day living can be chaotic. Here's some advice from a Main Line expert on keeping up with daily during these uncertain times. 

https://t.co/6C5B6rkn5g"
Bam2bole,2022-06-27 23:59:59+00:00,1,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@AadiAchint For 20y @free_thinker and gang hounded him day and night.
Less than a day in jail and the rats start squealing?"
vziea,2022-06-27 23:59:58+00:00,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@prttrzai have a nice day, yiza!!"
InversLia,2022-06-27 23:59:58+00:00,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@SandeChin I live in the country and every day I go out speeders cross the line on country corners half in the lane, speed through 50k zones and try to overtake tractors on narrow roads. Stupidity is what causes accidents and others die!"
TheReelSB,2022-06-27 23:59:58+00:00,2,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Worked out for the 2nd day in a row. Considering I never exercise, I'm a little proud."
codykai763,2022-06-27 23:59:58+00:00,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Not a bad day :) I'm just hella tired out 😴 https://t.co/AaCRUalhpW
hortonelijah13,2022-06-27 23:59:58+00:00,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@JoshSnook21 😂 Rome wasn’t built in a day. Took us awhile to get to this point as it is
