User,Date Created,Number of Likes,Source of Tweet,Tweet
nirnnala,2022-06-06 23:59:58+00:00,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@anticlingy Don't skip ur bfast, have a good day"
demorality,2022-06-06 23:59:58+00:00,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",he did have it. for a day 😒
TurfTalentNFT,2022-06-06 23:59:58+00:00,7,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","It’s a 🔥🔥GIVEAWAY🔥🔥 kinda day. 

Head to our discord to win a free Turf Talent mint 👀

https://t.co/u3tpzbINg4 https://t.co/nk2f5Nkpl5"
oyinxx_,2022-06-06 23:59:58+00:00,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",this is me on a normal day…i don’t own a single gown😭
OK20XX,2022-06-06 23:59:58+00:00,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Yo @Xbox @xboxuk @XboxP3 @Microsoft @MicrosoftStore @Windows Idk who but the Xbox Wireless Headset needs a revision because the mic quality isn’t great
Make a series 2 like y’all controller and it’s a day 1 cop for me
It’s literal pain to have to refund such a comfortable headset"
Ntokaa_,2022-06-06 23:59:58+00:00,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@cnr1x_ Hi cnr1x how your day been
echanjune,2022-06-06 23:59:58+00:00,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@dvyytm hv a nice day pa,dont skip your breakfast!"
Mungming34,2022-06-07 23:59:59+00:00,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@SupportForMT @marktuan @dnaofficial @GOT7 Have A Good  Day Mark Tuan ❤️
@marktuan​ #MarkTuan #마크         
#段宜恩 @dnaofficial #MARK         
#IGOT7        #갓세븐       @GOT7 #GOT7"
yejillovs,2022-06-07 23:59:59+00:00,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@jshwonnie don't forget to have breakfast, have a nice day!"
AkibaKevin,2022-06-07 23:59:59+00:00,1,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@kyon5815 Happy you got home safely, I think it is morning for you now, so Good Morning 🌹😘
I hope you will have a wonderful day, please take very good care and get some rest 💕🤗"
00line600,2022-06-07 23:59:59+00:00,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@brocksluts Morning isam have a great day
camcantrun,2022-06-07 23:59:59+00:00,1,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Day 4 ELDEN NOOB

https://t.co/lOndrknBzs https://t.co/xFfAyFJcwZ"
Mayyoubackoff,2022-06-07 23:59:59+00:00,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",That running up the hill from episode four has been stuck in my head all day
sumeetsonii,2022-06-07 23:59:59+00:00,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Indian railways has never be on time  on any single particular day.
aeouszc,2022-06-07 23:59:59+00:00,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@_monkeybabyyy good morning ! have a nice day
ASuddenSilence,2022-06-07 23:59:59+00:00,1,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@Mikeyvanb ""It Can't Rain All The Time"" by Jane Siberry still gives me goosebumps to this day 😩🔥"
__JiNKooK___,2022-06-07 23:59:59+00:00,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@lelebtslove Spring Day 

I vote for #MTVLAKPOPBTS #MTVLAHITMYUNIVERSE at this year's #PremiosMTVMIAW"
ReputationBLD,2022-06-07 23:59:59+00:00,2,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@livehiped Some days you need that manufactured energy...that late afternoon cold brew coffee is hitting hard and energy is HIGH! LFR!

Hope your day is going great brother 🙌"
JackieDonnie6,2022-06-08 23:59:59+00:00,0,"<a href=""https://staging.hootsuite.com"" rel=""nofollow"">HootSuite Staging</a>",https://t.co/seID9SW9MY (Jun 08 11 59 59)s are the most interesting time of the day! Maybe?
Nattie423,2022-06-08 23:59:59+00:00,18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Good morning Nattie☀️❤
I will work hard for Nattie today too💗💜
Good luck with your training!
Have a wonderful day💗
💗@NatbyNature 💗 https://t.co/IiRaud2rYI"
archvfksn,2022-06-08 23:59:59+00:00,0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@lhsprk_ morning ae, have a nice day"
Charrlless,2022-06-08 23:59:59+00:00,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WIN an 8-day Gems of the Arabian Peninsula Luxury Yacht Cruise for two, including flights! Prize valued at $20,000 https://t.co/TupEm67rQR"
bj_valentine,2022-06-08 23:59:59+00:00,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",look at this fucking picture. look at it. just marvel at it. ive been thinking about it every day since it was posted. he looks very very very very skrunky dunkly here. i think he is ravishing. 20/10 https://t.co/1yeKcqR9yj
AnnieFisherSTEM,2022-06-08 23:59:58+00:00,8,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",It’s a beautiful day for a #stemsnapshot 🤣👍🏻 HUGE shout out to our PTO for our awesome #stemswag !! We love our AFStem polo shirts from teacher appreciation week! #PTOgoals #stemstrong #stemstyle @Hughes33Willie @msboratko @MrRichT1P @HartfordSuper @Hartford_Public https://t.co/IqGIeTXmtG
Aezreil,2022-06-08 23:59:58+00:00,1,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@CSurvivor9 Best Tweet of the day!  OMG, I'm dying."
hejdicbd,2022-06-08 23:59:58+00:00,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@Diggsyograve @Excvel @FaZeVirus I don't see straight people protesting every fucking day just like all the flags, I dont see football players like Messi and Ronaldo come out as straight yet I've seen fags protesting and players like cavallo come out as ""gay"""
_melioxox_,2022-06-08 23:59:58+00:00,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",I cringe at past events 4x - 10x a day 😂
stjovite_,2022-06-08 23:59:58+00:00,30,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#30DaysofPowerPop Day 9
Pretty tune with guitarist Bill Nelson channeling his inner Robin Trower 🎸✨
https://t.co/vpJ0Yq6tLl https://t.co/jbULMzPTMb"
jessicascience,2022-06-08 23:59:58+00:00,3,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",no better way to spend my last day than to finally getting around to trying @SegoviaCoffee with one of my favourite people! https://t.co/cLU8MqQEei
madg27ny1,2022-06-09 23:59:59+00:00,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@CrossFitGoddess Hi Lindsey. Have a wonderful day 😊
crymsonbat,2022-06-09 23:59:59+00:00,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@StephenKing Crazy teenager is the word of the day. Fix the crazy. Guns don’t use themselves. He could have used a machete instead and the results could have b en the same.
JJWWDaya,2022-06-09 23:59:59+00:00,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",The main thing I wanted to see after S6 was Schmidt &amp; Cece’s pregnancy. Robbed of seeing Schmidt on the day their kid was born was rude 🥹
becki_cook,2022-06-09 23:59:59+00:00,1,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Ready for day two!
HeroJamesLynch,2022-06-09 23:59:59+00:00,1,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@TheWritingCom @AraeAnduril Joe leaves class one day and meets the girl of his dreams, only she's an operative of the Kaian Star Empire sent to bring him home to take the throne.

A fun, fast-paced space opera told with heart and humor.

https://t.co/Pg7KH5RXec"
DAMN_GENA,2022-06-09 23:59:58+00:00,2,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Who wanna do a 3 day juice cleanse with me?
dinoscheekmoles,2022-06-09 23:59:58+00:00,23,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","A cute little moodboard for #JUNHUI to celebrate his birthday!
Show your results and share ^^🐱

HAPPY MOON JUNHUI DAY!
#MOON에게_준휘생일축하가_닿기를 
#BrightestMoonJUNHUIDAY
#JUN #JUNHUIN #준 #세븐틴 #SEVENTEEN @pledis_17 https://t.co/ZeE3KIqkbj"
swampudlian,2022-06-09 23:59:58+00:00,1,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","When I first got to this train station, it said my train would be 46 minutes late. They cut that to just 23 minutes by time they got here. Which makes me wonder, can it be that fast every day?"
QuickerMcWild,2022-06-09 23:59:58+00:00,2,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","The way I see it, I have anywhere from 1 day to 10 years of skateboarding left in me and I’m going to make the most of it.

I’m going to have a good time on this early Father’s Day present! And hopefully Maddie will ride it someday too 😁 https://t.co/NAsKSoED5s"
kanlayapo1,2022-06-09 23:59:58+00:00,77,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","มอนิ่งยามเช้า Skrrt Skrrt day 💚
Morning10 BAMBAM 
#WheelsUp #SlowMo #WhoAreYou #뱀뱀   #BamBam   @BamBam1A @BAMBAMxABYSS #GOT7   @GOT7"
piconewgrounds,2022-06-09 23:59:58+00:00,0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@CNinja104 @whatthefuck759 anyways while i think it's funny that you kept replying this long, i have stuff outside of trolling on twitter to do

thank you for the laughs, and i hope you have a good day man"
tatterededge,2022-06-10 23:59:59+00:00,2,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","@krebs_claudia @Kriota It is! It jumped out at me at the bookstore one day &amp; I had to have it. When I was 5, I wanted to be a forensic pathologists or a forensic artist. (Yes, I know that’s an odd thing for a 5 year old girl to want. I watched a lot of Quincy, ME.)"
nykam_,2022-06-10 23:59:59+00:00,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",It’s essential to sit in the car for about 15min after work before going in the house .. don’t bring a work day in your place of peace 🙅🏾‍♀️
AceOfTheIndies,2022-06-10 23:59:59+00:00,16,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Another day, another meet and greet at @TheWrestlingUni. We met @jmehytr tonight. https://t.co/apilkP5uJv"
upperwestbruin,2022-06-10 23:59:59+00:00,0,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>",@TamOlson @alexbward @stephenfhayes The actual speech which ended “go home with love and peace. Remember this day forever.”
Dooski22_,2022-06-10 23:59:59+00:00,0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@22lexi_ @pokimanelol obviously someone pooped in the sink, and you're just unclogging it. You're a modern day hero."
TradeForOpp,2022-06-10 23:59:59+00:00,2,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@rp_futes I used to use it a bunch but not recently, at least with day trading. I’ve seen some things from @DemonBruv, I’ll have to take a look"
MainLineToday,2022-06-10 23:59:59+00:00,0,"<a href=""http://www.hubspot.com/"" rel=""nofollow"">HubSpot</a>","Ready to plan your big day? Our comprehensive guide has everything from florists and planners to photographers and venues to make your Main Line wedding unforgettable.

https://t.co/afNCxQnfIu"
aoi_sora_phsik,2022-06-10 23:59:59+00:00,8,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","おはようございます。
今日は通院day（子供たち）
眼科眼科眼科耳鼻科整形外科です😑"
Melissa68936284,2022-06-10 23:59:59+00:00,4,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@cafreeland @OECD @imf_news You missed April fools Day by a couple of months.  🤯
somekindofavery,2022-06-10 23:59:59+00:00,15,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",day 12 https://t.co/wQCwegQGgL
jnkyloml,2022-06-10 23:59:59+00:00,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@milkyboy_hoon have a great day, janlup sarapan!"
folkIauv,2022-06-11 23:59:59+00:00,2,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","The world moves on, another day another DRAMA DRAMA
But not for me, not for me, all I think about is KARMA https://t.co/sthM8DPMep"
ThatPersian,2022-06-11 23:59:59+00:00,1,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Great day for Ronaldo holders…

#Footballindex"
sonyalee9,2022-06-11 23:59:59+00:00,0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@blowdart All day every day.
BumWineBob,2022-06-11 23:59:59+00:00,0,"<a href=""https://untappd.com"" rel=""nofollow"">Untappd</a>",I just earned the 'International Axe Throwing Day (2022) sponsored by WATL' badge on @untappd! https://t.co/00H10F92uU #axethrowing #worldaxethrowingleague #WATL
BrenMcKay1,2022-06-11 23:59:59+00:00,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@TexasTribune What freakin' lives did he save that day? They all died!!!
rusermemeking,2022-06-11 23:59:59+00:00,2,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Happy Philippines Independence Day to all my Filipino followers out there 🇵🇭
seedyscribe,2022-06-11 23:59:59+00:00,199,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Holy smokes, I've been gone all day and this thing blew the hell up.

I can't possibly answer everyone, but fwiw, I share in the concern about the validity/amount of threats, but one threat is one too many. Yes, AH is a liar and is manipulative af and steals stories."
Pimpernell13,2022-06-11 23:59:59+00:00,6,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Here’s another one from the same author the same day https://t.co/O5AeeRTufK
burgner1_b,2022-06-11 23:59:59+00:00,0,"<a href=""https://untappd.com"" rel=""nofollow"">Untappd</a>",I just earned the 'International Axe Throwing Day (2022) sponsored by WATL' badge on @untappd! https://t.co/3fg1moQUeQ #axethrowing #worldaxethrowingleague #WATL
lanying24113338,2022-06-11 23:59:59+00:00,0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",TRON’s ‘Independence Day’: Tenth Largest Crypto’s Mainnet Activated . The tenth largest cryptocurrency TRON has moved to its mainnet following a month-long migration to its independent public blockchain.
JasonGi37909786,2022-06-11 23:59:59+00:00,2,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@TDeath21 @FoxNews Ban Trucks Now!!! Sue truck manufacturers now!!! At the very least we need to impose regulations on the purchase of trucks. Universal background check, 10 day waiting period to purchase a truck!"
TallgirlBigcity,2022-06-12 23:59:59+00:00,1,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@conrad_hotdish If not for the rainbow flags you could've told me this was just circus day at an elementary school
KyleFederline,2022-06-12 23:59:59+00:00,2,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Me watching Todd Howard &amp; Phil Spencer present stuff in the same day. @Xbox @Microsoft @XboxGamePass #XboxBethesda #XboxGamePass https://t.co/P2tv40umTE
TrHailee,2022-06-12 23:59:59+00:00,19,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","if dreams come true
I used to see you every day 
Hailee Steinfeld ❤️

#Day924 https://t.co/OsTg1TO16B"
summerray615,2022-06-12 23:59:59+00:00,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@Enash615 😅😅🤣 not trash bags. Let make it happen one day soon!
lilmahnaji,2022-06-12 23:59:59+00:00,9,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Last day to submit pieces for our architecture, cityscape, rooftopping, and aerial NFT gallery is Monday!!"
bnzour,2022-06-12 23:59:59+00:00,0,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","@sheruiff wkwk gemoi, have a great day"
SwaggyQee,2022-06-12 23:59:59+00:00,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Yk I’m pouring up for you tonight nd all day tomorrow
facingsuns,2022-06-12 23:59:59+00:00,676,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",the tiger he destroyed his cage yes YES the tiger is out. happy horanghae day https://t.co/hvwiXCy2bk
kkaassiopeiaa,2022-06-12 23:59:58+00:00,1,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@noranur__ Have a blessed day nora🌞
BTheozz,2022-06-12 23:59:58+00:00,1,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@gamblerca I posted the other day the question.... If a pilot did become affected while working,  would the public ever  know? Then it's the co-pilots job. 🤔"
AkibaKevin,2022-06-12 23:59:58+00:00,1,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@aya_moritake Good Morning 🌹😘

I hope you will have a wonderful day, please take care Thank You ❤️🤗😍"
LitCraft_io,2022-06-13 23:59:59+00:00,33,"<a href=""http://www.hubspot.com/"" rel=""nofollow"">HubSpot</a>",It’s not too late to get your dad a one-of-a-kind LitSquad collectible just in time for Father’s Day! Check out the collection at https://t.co/NReyRu0zjg on GlassBlock Marketplace! #fathersday #nft #crypto #blockchain https://t.co/gaGAmXOK2O
rolypoly97,2022-06-13 23:59:59+00:00,18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@namkookscumdump Oohhh mega secret relationship vibes between president namjoon and bar singer jungkook that he bumped into one day when he ran away from the blue house because he needed a break and just wanted to be ‘a normal person’ for a few hours
gi21342,2022-06-13 23:59:59+00:00,1,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tomorrow is my last day of freshman year in high school I’m so excited!!!!
Sisypuss_,2022-06-13 23:59:59+00:00,0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Can we please all lie down for ONE DAY to see its effect on the Earth's rotation? Please!?
dtheavenger,2022-06-13 23:59:59+00:00,5,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@LilyPotter130 @AdamParkhomenko @meridithmcgraw Today was a really difficult day watching the hearings because it was so much of him
MainLineToday,2022-06-13 23:59:59+00:00,2,"<a href=""http://www.hubspot.com/"" rel=""nofollow"">HubSpot</a>","Calling all nature lovers, shopping gurus and foodies! Take a day trip to Wayne with our step-by-step day guide below. 🤩
@NudysCafe @WayneArtCenter @RadnorHotel

https://t.co/30ksY6sR3g"
txflyboy28,2022-06-13 23:59:59+00:00,0,"<a href=""https://untappd.com"" rel=""nofollow"">Untappd</a>",I just earned the 'International Axe Throwing Day (2022) sponsored by WATL' badge on @untappd! https://t.co/TFGMzIw1Es #axethrowing #worldaxethrowingleague #WATL
ThinkAboutHeli,2022-06-13 23:59:59+00:00,1,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@shnkyv don't skip meals and stay hydrated OK !!! have a nice day ahead Love U 👩🏻‍❤️‍💋‍👩🏻
GodzillaMendoza,2022-06-13 23:59:59+00:00,183,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Mid day bump! I found one of the rarest toys every produced in perfect condition in its original box and it's for sale on my ebay now so if you're a serious collector looking for the GI Joe Defiant Shuttle Complex then hit us up with an offer at the link below! https://t.co/QsmbkOVSB3
UABODEI,2022-06-13 23:59:58+00:00,0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@UABODEI is celebrating #BlackMusicMonth with a 7-day music challenge! Share your favorite artists and songs each day Post on your story and tag us with #ODEIBMM7DAYCHALLENGE! 

For today’s challenge, post a song by your favorite Black female artist. https://t.co/3Pja61cH13"
shantinique,2022-06-13 23:59:58+00:00,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Father day weekend  https://t.co/0xjIAzTmxh
rileymacdonaldx,2022-06-14 23:59:59+00:00,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@LuisRCamarillo1 Awwww, good morning! I hope you have a lovely day, xx"
yoongi201010,2022-06-14 23:59:59+00:00,1,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","even after an emotionally draining day like today’s was, I can't fall asleep. 6am soon fml"
PrimeLBJ,2022-06-14 23:59:59+00:00,1,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@TheBg_12 He was cooked before he got here, he better thank AD every day for that ridiculous contract lmfao"
hohochambubble,2022-06-14 23:59:59+00:00,2,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","HAPPY HOSHI DAY 🐯💙✨

#호시_생일초에_불붙여라_아주뜨겁게
#HorangiPowerHoshiDay 
@pledis_17 💎 https://t.co/1zoWrADTui"
TsEndereBrine,2022-06-14 23:59:59+00:00,1,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@mikenekovaccine lov bed. i could lay in it all day
ladydyla__,2022-06-14 23:59:59+00:00,13,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Order of Play - Day 2
15 June 2022 - R32

Ada perang saudara, perang pasangan cerai, perang otai, perang F4. Biasa-biasakanlah untuk disakiti 😅All the best, fight on! #IndonesiaOpen2022 https://t.co/q4Q4iSyXvw"
pattmatt1966,2022-06-14 23:59:59+00:00,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","https://t.co/0mBeW1evFr

Playin Audio Father's Day LG TV Giveaway! Enter Now for Your Chance To Win a New LG TV! https://t.co/IkQiseCQnj"
maandanicole,2022-06-14 23:59:58+00:00,1,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",I just wanted to be with Greg all day today 🥱
trumplicans2024,2022-06-14 23:59:58+00:00,10,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Flag Day 2022... https://t.co/XbHAHoMSyZ
1crvt,2022-06-14 23:59:58+00:00,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",actually i have appointment today so maybe its not the best day in my life
stomfischer,2022-06-14 23:59:58+00:00,0,"<a href=""https://periscope.tv"" rel=""nofollow"">Periscope</a>",National Bourbon Day Live Tasting https://t.co/kRxYLMcCZ0
blasiian_b,2022-06-15 23:59:59+00:00,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Yessss , like I Kant wait extra day me plssss 😍🤤"
stowrii,2022-06-15 23:59:59+00:00,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@lafairlytale have a nice day and don't skip ur breakfast
aa_designz,2022-06-15 23:59:59+00:00,0,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","Another day! It's June 15, 2022 at 01:59PM"
bobbyegg7,2022-06-15 23:59:59+00:00,1,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@Dial_adrink And it’s only day one https://t.co/ezTFfbyPZg
simunch1,2022-06-15 23:59:59+00:00,7,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@SallyMi83941850 @GOV2UK Don't forget to put your Tories out on the street! 👍🚮
Thursday 23rd June 2022 is Bin Day!

⚫️Pirates Ahoy!⚫️
⚔️#JohnsonOut143🦜#Vote23rdJune🏴‍☠️
🪝#JohnsonOut⚓️#ToriesOutNow🔱#SaveOurDemocracy ☠️

Should really be a bright yellow medical waste wheelie bin to put Toxic Tories in!"
arya_dalal,2022-06-15 23:59:59+00:00,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@rahultewatia02 bro don't worry . We know the value of you , one day Indian jersey will be in your room . Hard work always pays off . You deserve to be there."
__iris13,2022-06-15 23:59:59+00:00,18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","I WANNA STAY WITH YOU JIMIN 

Your day will be even better if you listen to #WithYou by #JIMIN #BTSJIMIN of #BTS   (@BTS_twt) and Sungwoon https://t.co/URvTk2Xe0Y"
MKnightSpector_,2022-06-15 23:59:58+00:00,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@_LittleScarab_ “You do? Well you’ll need to most definitely wear it for me again one day, I know you would look just as gorgeous as you did before”"
Litglenqcom,2022-06-15 23:59:58+00:00,2,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@Kristyann39 Who is trying to rename Father’s Day
bensfade2,2022-06-15 23:59:58+00:00,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Just like that my day is ruined -_-
TTouretteCBITF,2022-06-15 23:59:58+00:00,0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Today is the last day of #TouretteSyndromeAwarenessMonth. This graphic from the #TouretteAssociationofAmerica encapsulates what it is like living with #tourettesyndrome. Tics may be visible and audible but that is just one layer of what living with Tourette Syndrome is like.
Woozjih,2022-06-16 23:59:59+00:00,1,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@niki_jachingu Good morning po! Don't forget your meals and have a great day!🤍💙
fairyyjhannie,2022-06-16 23:59:59+00:00,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@licaani Have a nice day!! Jgn lupa sarapan yaa
springfLower14_,2022-06-16 23:59:59+00:00,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",I tend to accomodate both. May itinerary pero the last day would be to enjoy the hotel amenities.
88christina06,2022-06-16 23:59:59+00:00,1,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@DocAtCDI @goofygoddess84 Not movie quotes but song lyrics. All day every day.
MR_OmniaVincit,2022-06-16 23:59:59+00:00,0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","I'll keep that DND on all day, like it is now."
jtm612402,2022-06-16 23:59:58+00:00,1,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@TraciBr50065806 @bennyjohnson @MayraFlores2022 All these people do all day long as sensor tweets they don’t like that hurt their feelings… I cannot believe they get paid to do that absolutely disgusting. These people are the ones ruining our country
TabithaM1313,2022-06-16 23:59:58+00:00,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Have a great evening day or afternoon where ever you are 🌻 https://t.co/qSZcSITPTW
King_Gamer_1st,2022-06-16 23:59:58+00:00,0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",What I'd give to see a clean-shaven Gabe Newell in current day
